Volatge (V),Frequency,Current
3.139841642,8021252,2097
3.139841642,8021708,2097
3.13739785,8021732,2096
3.13739785,8022740,2095
3.134954057,8023412,2094
3.134954057,8023892,2093
3.132510264,8024708,2091
3.134954057,8025092,2090
3.130066471,8024516,2090
3.130066471,8024276,2088
3.125178886,8025044,2087
3.127622679,8024660,2086
3.125178886,8024948,2086
3.125178886,8024924,2085
3.125178886,8025188,2084
3.1202913,8025356,2083
3.1202913,8025764,2082
3.1202913,8026180,2081
3.1202913,8026700,2080
3.115403715,8026388,2079
3.115403715,8026852,2078
3.115403715,8026868,2078
3.112959922,8026892,2077
3.112959922,8027684,2075
3.110516129,8027492,2075
3.110516129,8027780,2074
3.108072337,8027996,2073
3.108886934,8028692,2071
3.105628544,8028932,2071
3.105628544,8029196,2070
3.105628544,8029700,2068
3.105628544,8029844,2068
3.105628544,8030132,2067
3.103184751,8030300,2067
3.100740958,8030108,2065
3.098297165,8030372,2065
3.100740958,8030276,2064
3.098297165,8031308,2063
3.09340958,8031476,2062
3.095853372,8031380,2060
3.09340958,8031764,2060
3.095853372,8032052,2059
3.09340958,8032196,2058
3.090965787,8032340,2057
3.090965787,8032724,2056
3.088521994,8032748,2056
3.088521994,8032988,2054
3.086078201,8033660,2054
3.086078201,8033780,2053
3.086078201,8033852,2052
3.086078201,8033804,2051
3.081190616,8034380,2050
3.081190616,8034908,2050
3.081190616,8034644,2049
3.078746823,8034908,2048
3.081190616,8035436,2048
3.078746823,8035412,2047
3.07630303,8035700,2046
3.07630303,8035652,2045
3.07630303,8035532,2045
3.07630303,8035268,2045
3.07630303,8035460,2045
3.07630303,8035556,2044
3.073859238,8036156,2043
3.07630303,8035988,2043
3.073859238,8036612,2043
3.071415445,8036396,2042
3.071415445,8036588,2042
3.071415445,8036492,2041
3.071415445,8036828,2041
3.071415445,8037236,2040
3.066527859,8036996,2039
3.066527859,8037236,2039
3.064084067,8037284,2038
3.066527859,8038076,2037
3.066527859,8037716,2037
3.066527859,8038028,2037
3.064084067,8038124,2036
3.064084067,8038100,2036
3.061640274,8038628,2035
3.061640274,8038844,2034
3.061640274,8039180,2033
3.061640274,8038652,2033
3.061640274,8039372,2032
3.056752688,8039132,2031
3.056752688,8039084,2030
3.056752688,8038820,2030
3.056752688,8039468,2030
3.056752688,8039348,2029
3.056752688,8039660,2029
3.056752688,8039924,2029
3.051865103,8039228,2028
3.054308896,8039756,2028
3.054308896,8039684,2028
3.051865103,8039636,2027
3.051865103,8039420,2026
3.051865103,8039876,2026
3.051865103,8040092,2026
3.04942131,8040236,2025
3.051865103,8041100,2025
3.046977517,8041892,2023
3.046977517,8041796,2022
3.042089932,8042060,2021
3.042089932,8041916,2020
3.042089932,8042228,2019
3.039646139,8043044,2018
3.037202346,8043020,2017
3.037202346,8043140,2016
3.037202346,8043068,2015
3.037202346,8043908,2015
3.037202346,8043788,2014
3.037202346,8043884,2013
3.034758554,8044292,2013
3.034758554,8044148,2012
