Volatge (V),Frequency (Hz),current (uA)
2.45255132,1010588,275.41
2.451085044,1010612,275.23
2.451085044,1010660,275.05
2.451085044,1010612,274.91
2.448152493,1010684,274.74
2.446686217,1010684,274.48
2.445219941,1010684,274.25
2.44228739,1010708,274.04
2.44228739,1010684,273.85
2.440821115,1010732,273.63
2.436422287,1010708,273.4
2.436422287,1010756,273.13
2.433489736,1010756,272.91
2.432023461,1010660,272.69
2.430557185,1010684,272.45
2.429090909,1010756,272.31
2.426158358,1010732,272.09
2.424692082,1010804,271.87
2.424692082,1010804,271.6
2.421759531,1010828,271.44
2.420293255,1010828,271.16
2.418826979,1010780,270.93
2.415894428,1010804,270.69
2.414428153,1010804,270.42
2.412961877,1010804,270.2
2.412961877,1010708,269.99
2.410029326,1010780,269.78
2.408073803,1010780,269.56
2.407096774,1010780,269.36
2.404164223,1010780,269.13
2.402697948,1010804,268.89
2.401231672,1010828,268.7
2.39829912,1010900,268.43
2.396832845,1010756,268.16
2.395366569,1010852,267.97
2.393900294,1010900,267.69
2.392434018,1010852,267.46
2.390967742,1010900,267.3
2.389501466,1010876,267.1
2.386568915,1010876,266.92
2.386568915,1010924,266.76
2.383636364,1010876,266.5
2.383636364,1010852,266.23
2.383636364,1010876,266.27
2.380703812,1010900,266.01
2.380703812,1010996,265.56
2.36457478,1011068,264.45
2.363108504,1010996,263.62
2.363108504,1010972,263.47
2.361642229,1010948,263.35
2.358709678,1011020,263.17
2.358709678,1011044,262.96
2.355777126,1011092,262.78
2.35431085,1011092,262.63
2.352844575,1011212,262.42
2.351378299,1011116,262.23
2.351378299,1011092,262.07
2.348445748,1011116,261.81
2.345513196,1011116,261.58
2.345513196,1011068,261.37
2.342580645,1011044,261.24
2.342580645,1011116,261.02
2.339648094,1011188,260.74
2.336715543,1011068,260.47
2.336715543,1011140,260.25
2.335249267,1011188,260.06
2.333782991,1011140,259.82
2.33085044,1011164,259.6
2.329384165,1011140,259.42
2.327917889,1011164,259.21
2.326451613,1011260,258.93
2.323519062,1011212,258.66
2.322052786,1011188,258.49
2.320586511,1011212,258.31
2.319120235,1011212,258.14
2.317653959,1011236,257.82
2.314721408,1011236,257.63
2.316187683,1011308,257.52
2.313255132,1011236,257.31
2.310322581,1011284,257.1
2.308856305,1011356,256.84
2.307390029,1011380,256.64
2.305923754,1011332,256.45
2.304457478,1011404,256.24
2.301524927,1011452,255.98
2.300058651,1011428,255.78
2.298592375,1011428,255.54
2.298592375,1011404,255.33
2.295659824,1011428,255.22
2.294193549,1011404,255.05
2.292727273,1011428,254.81
2.291260997,1011428,254.53
2.289794721,1011452,254.31
2.289794721,1011476,254.18
2.28686217,1011476,254.11
2.285395895,1011572,253.89
2.283929619,1011596,253.68
2.280997067,1011596,253.46
2.278064516,1011596,253.14
2.278064516,1011620,252.97
2.276598241,1011596,252.83
2.273665689,1011644,252.58
2.272199413,1011596,252.36
2.273665689,1011620,252.38
2.270733138,1011620,252.26
2.270733138,1011716,252.06
2.269266862,1011692,251.94
2.266334311,1011644,251.69
2.266334311,1011668,251.43
2.261935484,1011668,251.22
2.260469208,1011692,250.94
2.260469208,1011644,250.68
2.257536657,1011668,250.52
2.256070382,1011764,250.39
2.25313783,1011788,250.09
2.251671554,1011764,249.89
2.250205279,1011788,249.69
2.248739003,1011860,249.49
