Voltage (V),Frequency (Hz),Current (uA)
2.751230694,12122936,2629
2.74927566,12122756,2627
2.74585435,12122560,2626
2.746587488,12122492,2624
2.743166178,12122308,2622
2.741944282,12122124,2620
2.740722385,12122084,2618
2.738034213,12121864,2617
2.736079179,12121768,2615
2.735346041,12121720,2612
2.733879765,12121460,2610
2.732657869,12121400,2608
2.729969697,12121344,2606
2.729236559,12121184,2604
2.728503421,12121124,2602
2.727281525,12121080,2600
2.724593353,12121028,2598
2.72239394,12120896,2596
2.721905181,12120820,2594
2.719217009,12120768,2592
2.716040078,12120628,2590
2.715795699,12120524,2588
2.716528837,12120476,2586
2.713107527,12120380,2584
2.709930596,12120308,2582
2.709197459,12120276,2578
2.708464321,12120200,2577
2.704065494,12120148,2575
2.703821115,12120104,2573
2.703087977,12120032,2570
2.699911046,12119988,2568
2.699177908,12119972,2566
2.699177908,12119944,2565
2.69526784,12119928,2562
2.692579668,12119944,2560
2.692579668,12119948,2558
2.689891496,12119948,2556
2.689158358,12119996,2554
2.68524829,12120016,2551
2.683782014,12120052,2549
2.683293256,12120088,2547
2.683782014,12120096,2546
2.679871945,12120112,2546
2.677183773,12120096,2544
2.676450636,12120080,2542
2.675228739,12120080,2541
2.674006843,12120068,2538
2.674495601,12120068,2537
2.670585533,12120092,2536
2.671807429,12120124,2535
2.670585533,12120180,2533
2.666675464,12120216,2530
2.665942326,12120284,2528
2.663987293,12120404,2526
2.662521017,12120460,2524
2.66129912,12120552,2522
2.660565982,12120688,2521
2.657877811,12120756,2519
2.65470088,12120880,2517
2.653967742,12120972,2515
2.653967742,12120988,2514
2.652501467,12121048,2512
2.650546432,12121068,2510
2.648591398,12121080,2508
2.648347019,12121112,2506
2.643948192,12121176,2504
2.643948192,12121212,2503
2.642481916,12121288,2502
2.640526882,12121464,2499
2.637349951,12121508,2498
2.637105572,12121596,2495
2.635150538,12121828,2493
2.633439883,12121920,2490
2.632462366,12122044,2489
2.630018573,12122284,2487
2.626597263,12122420,2485
2.624642229,12122520,2483
2.625130987,12122756,2481
2.624397849,12122880,2479
2.621954057,12122912,2478
2.619265885,12123040,2475
2.616577713,12123132,2474
2.617799609,12123232,2472
2.615111437,12123364,2470
2.615111437,12123592,2469
2.61071261,12123716,2467
2.611201369,12123912,2466
2.609979473,12124336,2464
2.608513197,12124364,2462
2.605336266,12124556,2460
2.603381232,12125008,2458
2.602403715,12125096,2456
2.60069306,12125320,2455
2.599959922,12125708,2453
2.598004888,12125924,2451
2.596538612,12126076,2449
2.594094819,12126456,2448
2.595072336,12126768,2446
