Voltage (V),Frequency (Hz),Time (uA),,
2.881973607,16178132,3663,,
2.882462366,16178252,3662,,
2.882951124,16178972,3661,,
2.87781916,16179308,3660,,
2.879285435,16174148,3658,,
2.878063539,16179452,3656,,
2.875864126,16179860,3654,,
2.875864125,16178876,3653,,
2.875130987,16182044,3651,,
2.873175953,16182620,3650,,
2.872442816,16180316,3648,,
2.872442816,16181516,3646,,
2.87097654,16183364,3645,,
2.870487781,16183796,3644,,
2.869754643,16184540,3642,,
2.866577713,16183004,3641,,
2.867066472,16177004,3640,,
2.864622679,16185140,3638,,
2.865111437,16183292,3637,,
2.863156403,16185740,3635,,
2.863889541,16186484,3633,,
2.864378299,16186100,3631,,
2.858757576,16180028,3630,,
2.858757576,16187900,3629,,
2.859246335,16187444,3628,,
2.859735093,16184828,3626,,
2.859735093,16185284,3622,,
2.857780059,16187684,3619,,
2.857046921,16189076,3618,,
2.857780059,16189820,3617,,
2.855825025,16193468,3617,,
2.853869991,16187324,3616,,
2.855091887,16187324,3615,,
2.853136853,16189388,3614,,
2.852403715,16187636,3613,,
2.851181818,16190180,3611,,
2.849715543,16187900,3610,,
2.852403715,16190612,3609,,
2.849959922,16190660,3608,,
2.848493647,16189580,3607,,
2.84727175,16191596,3605,,
2.846049854,16189652,3604,,
2.847760509,16188308,3603,,
2.84727175,16191260,3602,,
2.84385044,16190852,3600,,
2.842628544,16192988,3598,,
2.841895406,16194596,3597,,
2.841162268,16194068,3596,,
2.84042913,16198940,3594,,
2.839207234,16194812,3594,,
2.839207234,16190804,3593,,
2.837985337,16191788,3590,,
2.8372522,16194836,3589,,
2.8372522,16190228,3588,,
2.831875856,16195508,3586,,
2.832608993,16195820,3585,,
2.83383089,16201940,3583,,
2.832364614,16197020,3582,,
2.831875856,16193300,3581,,
2.831142718,16203788,3580,,
2.828454546,16196324,3578,,
2.829920822,16199804,3577,,
2.829187684,16196780,3576,,
2.828454546,16198484,3574,,
2.825277615,16196732,3573,,
2.823811339,16195052,3571,,
2.824544477,16206500,3570,,
2.823322581,16201028,3569,,
2.821856305,16201748,3567,,
2.821123167,16198100,3566,,
2.82039003,16201508,3565,,
2.818679375,16197740,3563,,
2.818434996,16199636,3561,,
2.817213099,16200284,3560,,
2.817701858,16197140,3558,,
2.815258065,16200020,3557,,
2.816479961,16208348,3555,,
2.813058651,16204124,3555,,
2.813058651,16209572,3553,,
2.811836755,16203476,3552,,
2.811103617,16196708,3551,,
2.811103617,16204604,3549,,
